title,open,rev,budget,ad,rating,scrn,sequel
GUESS WHO,3/25/2005,80982240,41128084,36414924,5.6,2064,NoSeq
HAPPY FEET,11/17/2006,225512896,113895216,53998860,6.7,1338,NoSeq
HAROLD AND KUMAR GO TO WHITE CASTLE,7/30/2004,22175638,10935601,20569498,7.2,901,NoSeq
HARRY POTTER AND THE GOBLET OF FIRE,11/18/2005,340790880,176263216,39740768,7.7,1452,Seq
HARRY POTTER AND THE PRISONER OF AZKABAN,6/4/2004,303209088,157958688,43751280,7.7,1120,Seq
HAUNTED MANSION,11/26/2003,94690720,112359552,39803308,4.8,954,NoSeq
HEAD OF STATE,3/28/2003,47597064,43945068,20911546,5.1,770,NoSeq
HELLBOY,4/2/2004,72447096,80194408,34955408,6.8,1420,NoSeq
HERBIE FULLY LOADED,6/22/2005,77583800,58754408,30874738,4.7,1123,Seq
HERO,8/27/2004,65261264,37667072,10975215,7.9,997,NoSeq
HIDALGO,3/5/2004,81778192,121506680,36071688,6.5,856,NoSeq
HIDE AND SEEK,1/28/2005,60047576,29377204,23351820,5.6,913,NoSeq
HILLS HAVE EYES,3/10/2006,47584128,17084282,5715604,6.5,755,NoSeq
HITCH,2/11/2005,210923104,82256168,44671796,6.8,2164,NoSeq
HITCHHIKERS GUIDE TO THE GALAXY,4/29/2005,60029868,58754408,30122210,6.6,1130,NoSeq
HOLES,4/18/2003,84153024,24968790,21915108,7.1,990,NoSeq
HOLIDAY,12/8/2006,72010080,96810936,39295896,6.9,1897,NoSeq
HOLLYWOOD HOMICIDE,6/13/2003,38627580,93632960,36967416,5.2,1050,NoSeq
HOLLYWOODLAND,9/8/2006,16430810,15945330,17918906,6.6,759,NoSeq
HOME ON THE RANGE,4/2/2004,60790352,133657352,33693800,5.3,840,NoSeq
HONEY,12/5/2003,37838224,22471910,24455432,4.6,706,NoSeq
HONEYMOONERS,6/10/2005,15092655,29377204,17665218,2.7,635,NoSeq
HOODWINKED,12/16/2005,60383796,17626322,28194002,6.7,970,NoSeq
HOSTAGE,3/11/2005,40704980,88131608,18897766,6.6,760,NoSeq
HOSTEL,1/6/2006,53902588,5466971,11127904,5.7,1464,NoSeq
